#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,ttf-fira-code,"is a nice monospace font."
,ttf-freefont,"provides sans and serif fonts." 
,termite,"is a terminal."
,pcmanfm,"is a graphical file manager."
,speedcrunch,"is a scientific calculator."
,neovim,"is a text-editor."
,keepassxc,"is a password manager."
,evolution,"is a mail program."
,alacritty,"is a fast terminal."
,baobab,"is disk space visualizer."
,krita,"is an image manipulation program."
,gimp,"is an image manipulation program."
,telegram-desktop,"is an instant messenger."
